Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
ROKU,"Roku, Inc.",144.71,4:00PM EST,-16.74,-10.37%,18.599M,19.444B,,,
ARKK,ARK ETF Trust - ARK Innovation ETF,68.18,4:00PM EST,-4.69,-6.44%,19.285M,N/A,,,
ISPO,Inspirato Incorporated,92.65,4:00PM EST,79.75,+618.22%,12.666M,4.348B,,,
3690.HK,Meituan,188,4:08PM HKT,-32.8,-14.86%,82.654M,1.153T,,,
BTC-USD,Bitcoin USD,40810.84,9:23AM UTC,-2347.04,-5.44%,26.48B,773.84B,,,
DBX,"Dropbox, Inc.",23.58,4:00PM EST,-1.32,-5.30%,6.838M,9.019B,,,
CPTN,"Cepton, Inc.",42,4:00PM EST,32.53,+343.51%,445359,6.47B,,,
ANGH,Anghami Inc.,28.88,4:00PM EST,17.83,+161.36%,20.248M,744.209M,,,
RMS.PA,Hermès International Société en commandite par actions,1193.5,10:10AM CET,-61.5,-4.90%,62215,124.893B,,,
SHAK,Shake Shack Inc.,75.18,4:00PM EST,-3.58,-4.55%,1.379M,3.162B,,,
TSLA,"Tesla, Inc.",876.35,4:00PM EST,-47.04,-5.09%,18.393M,905.716B,,,
RDFN,Redfin Corporation,28.64,4:00PM EST,-1.87,-6.13%,2.262M,3.021B,,,
1024.HK,Kuaishou Technology,94,4:08PM HKT,-4.8,-4.86%,24.444M,399.257B,,,
INTC,Intel Corporation,47.57,4:00PM EST,-0.66,-1.37%,32.031M,193.705B,,,
9988.HK,Alibaba Group Holding Limited,119.5,4:08PM HKT,-3.5,-2.85%,36.06M,2.592T,,,
GOOG,Alphabet Inc.,2646.17,4:00PM EST,-103.58,-3.77%,1.544M,1.751T,,,
PLTR,Palantir Technologies Inc.,11.77,4:00PM EST,-2.2,-15.75%,150.585M,23.597B,,,
PARA,Paramount Global,29.35,4:00PM EST,-0.23,-0.78%,12.052M,19.185B,,,
^HSI,HANG SENG INDEX,24327.71,4:08PM HKT,-465.06,-1.88%,0,N/A,,,
FB,"Meta Platforms, Inc.",207.71,4:00PM EST,-8.83,-4.08%,38.748M,589.41B,,,
MELI,"MercadoLibre, Inc.",1021.07,4:00PM EST,-112.77,-9.95%,722281,51.522B,,,
ORNBV.HE,Orion Oyj,43.44,11:25AM EET,6.97,+19.11%,492547,6.107B,,,
0700.HK,Tencent Holdings Limited,470,4:08PM HKT,-9,-1.88%,24.033M,4.514T,,,
^IXIC,NASDAQ Composite,13716.72,5:15PM EST,-407.38,-2.88%,3.744B,N/A,,,
BAYN.DE,Bayer Aktiengesellschaft,55.46,10:10AM CET,1.38,+2.55%,1.216M,54.485B,,,
COST,Costco Wholesale Corporation,515.01,4:00PM EST,2.61,+0.51%,1.935M,228.372B,,,
EDF.PA,Electricité de France S.A.,7.96,10:10AM CET,-0.37,-4.49%,2.832M,25.776B,,,
MSFT,Microsoft Corporation,290.73,4:00PM EST,-8.77,-2.93%,32.462M,2.18T,,,
STORY-B.ST,Storytel AB (publ),97.66,10:25AM CET,-21.04,-17.73%,1.334M,6.668B,,,
APPN,Appian Corporation,49.28,4:00PM EST,-5.5,-10.04%,1.174M,3.508B,,,
